,metro_area,postal_code,median_sale_price,house_count
128,"Charlotte,NC",28214,342900.0,258
129,"Charlotte,NC",28215,356000.0,215
130,"Charlotte,NC",28216,357450.0,186
131,"Charlotte,NC",28217,378810.0,122
132,"Charlotte,NC",28226,650000.0,200
133,"Charlotte,NC",28227,324000.0,119
134,"Charlotte,NC",28262,379980.0,135
135,"Charlotte,NC",28269,386000.0,338
136,"Charlotte,NC",28270,606000.0,159
137,"Charlotte,NC",28273,373500.0,120
138,"Charlotte,NC",28277,547450.0,296
139,"Charlotte,NC",28278,504018.0,268
140,"Colorado Springs,CO",80903,440000.0,17
141,"Colorado Springs,CO",80904,483750.0,20
142,"Colorado Springs,CO",80905,413500.0,32
143,"Colorado Springs,CO",80906,462500.0,28
144,"Colorado Springs,CO",80907,426500.0,22
145,"Colorado Springs,CO",80908,536730.0,48
146,"Colorado Springs,CO",80909,422500.0,40
147,"Colorado Springs,CO",80910,369000.0,34
148,"Colorado Springs,CO",80911,400000.0,48
149,"Colorado Springs,CO",80915,422500.0,18
150,"Colorado Springs,CO",80916,387535.0,49
151,"Colorado Springs,CO",80917,437000.0,23
152,"Colorado Springs,CO",80918,455750.0,48
153,"Colorado Springs,CO",80919,526500.0,24
154,"Colorado Springs,CO",80920,565000.0,47
155,"Colorado Springs,CO",80921,750000.0,25
156,"Colorado Springs,CO",80922,473000.0,40
157,"Colorado Springs,CO",80923,515000.0,51
158,"Colorado Springs,CO",80924,654852.5,34
159,"Colorado Springs,CO",80925,500000.0,47
160,"Colorado Springs,CO",80926,887150.0,2
161,"Colorado Springs,CO",80927,467501.5,40
162,"Colorado Springs,CO",80928,543000.0,2
163,"Colorado Springs,CO",80930,766000.0,2
164,"Colorado Springs,CO",80939,490475.5,2
165,"Colorado Springs,CO",80951,474500.0,6
166,"Columbus,OH",43004,312000.0,84
167,"Columbus,OH",43016,355000.0,81
168,"Columbus,OH",43017,332500.0,38
169,"Columbus,OH",43026,306500.0,88
170,"Columbus,OH",43035,382000.0,9
171,"Columbus,OH",43054,327500.0,6
172,"Columbus,OH",43065,350000.0,17
173,"Columbus,OH",43068,226000.0,25
174,"Columbus,OH",43081,292100.0,19
175,"Columbus,OH",43085,196000.0,34
176,"Columbus,OH",43110,261500.0,68
177,"Columbus,OH",43119,280000.0,74
178,"Columbus,OH",43123,270000.0,70
179,"Columbus,OH",43125,191000.0,11
180,"Columbus,OH",43137,310000.0,7
181,"Columbus,OH",43147,355125.0,2
182,"Columbus,OH",43201,415000.0,75
183,"Columbus,OH",43202,350000.0,59
184,"Columbus,OH",43203,223750.0,22
185,"Columbus,OH",43204,176500.0,202
186,"Columbus,OH",43205,340000.0,39
187,"Columbus,OH",43206,325000.0,184
188,"Columbus,OH",43207,180500.0,112
189,"Columbus,OH",43209,380000.0,97
190,"Columbus,OH",43211,133750.0,150
191,"Columbus,OH",43212,436000.0,53
192,"Columbus,OH",43213,200000.0,97
193,"Columbus,OH",43214,350000.0,62
194,"Columbus,OH",43215,463000.0,57
195,"Columbus,OH",43217,70000.0,1
196,"Columbus,OH",43219,209500.0,58
197,"Columbus,OH",43220,422500.0,97
198,"Columbus,OH",43221,479500.0,104
199,"Columbus,OH",43222,191000.0,26
200,"Columbus,OH",43223,150000.0,117
201,"Columbus,OH",43224,175300.0,111
202,"Columbus,OH",43227,173500.0,75
203,"Columbus,OH",43228,240000.0,190
204,"Columbus,OH",43229,225000.0,21
205,"Columbus,OH",43230,345000.0,111
206,"Columbus,OH",43231,92500.0,4
207,"Columbus,OH",43232,188750.0,124
208,"Columbus,OH",43235,400000.0,144
209,"Columbus,OH",43240,302000.0,3
210,"Denver,CO",80123,590000.0,5
211,"Denver,CO",80202,596000.0,55
212,"Denver,CO",80203,365000.0,30
213,"Denver,CO",80204,665000.0,44
214,"Denver,CO",80205,676000.0,101
215,"Denver,CO",80206,666000.0,30
216,"Denver,CO",80207,740000.0,45
217,"Denver,CO",80209,1105000.0,72
218,"Denver,CO",80210,800000.0,81
219,"Denver,CO",80211,852000.0,114
220,"Denver,CO",80212,1150000.0,27
221,"Denver,CO",80214,455000.0,1
222,"Denver,CO",80216,510000.0,17
223,"Denver,CO",80218,490000.0,49
224,"Denver,CO",80219,515000.0,44
225,"Denver,CO",80220,682500.0,74
226,"Denver,CO",80221,512500.0,16
227,"Denver,CO",80222,650000.0,45
228,"Denver,CO",80223,614500.0,36
229,"Denver,CO",80224,455000.0,38
230,"Denver,CO",80227,595000.0,11
231,"Denver,CO",80230,657900.0,19
232,"Denver,CO",80231,375000.0,48
233,"Denver,CO",80235,350000.0,3
234,"Denver,CO",80236,600000.0,23
235,"Denver,CO",80237,435000.0,38
236,"Denver,CO",80238,757655.5,112
237,"Denver,CO",80239,454000.0,29
238,"Denver,CO",80246,755000.0,22
239,"Denver,CO",80247,275000.0,48
240,"Denver,CO",80249,511000.0,57
241,"Denver,CO",80260,82500.0,3
242,"Detroit,MI",48205,21500.0,1
243,"Detroit,MI",48212,21500.0,1
244,"Detroit,MI",48214,45000.0,1
245,"Detroit,MI",48220,386025.0,2
246,"Detroit,MI",48221,106250.0,2
247,"Detroit,MI",48223,75000.0,1
248,"Detroit,MI",48224,169900.0,1
249,"Detroit,MI",48227,39550.0,2
250,"Detroit,MI",48228,79000.0,1
251,"Detroit,MI",48234,17000.0,1
252,"Detroit,MI",48238,320000.0,1
253,"Detroit,MI",48239,123000.0,1
254,"Fresno,CA",93608,145000.0,1
255,"Fresno,CA",93619,800000.0,1
256,"Fresno,CA",93630,283000.0,1
257,"Fresno,CA",93650,170000.0,5
258,"Fresno,CA",93657,625000.0,1
259,"Fresno,CA",93701,288750.0,2
260,"Fresno,CA",93702,290000.0,17
261,"Fresno,CA",93703,315000.0,19
262,"Fresno,CA",93704,340500.0,25
263,"Fresno,CA",93705,305000.0,23
264,"Fresno,CA",93706,242000.0,15
265,"Fresno,CA",93710,380000.0,13
266,"Fresno,CA",93711,553000.0,15
267,"Fresno,CA",93720,449950.0,22
268,"Fresno,CA",93721,150000.0,1
269,"Fresno,CA",93722,386500.0,25
270,"Fresno,CA",93723,467000.0,3
271,"Fresno,CA",93725,220000.0,7
272,"Fresno,CA",93726,323700.0,24
273,"Fresno,CA",93727,420000.0,51
274,"Fresno,CA",93728,240000.0,14
275,"Fresno,CA",93730,815000.0,15
276,"Fresno,CA",93737,467500.0,12
277,"Indianapolis,IN",46113,265500.0,11
278,"Indianapolis,IN",46201,173281.0,98
279,"Indianapolis,IN",46202,355000.0,48
280,"Indianapolis,IN",46203,187937.0,92
281,"Indianapolis,IN",46204,314000.0,14
282,"Indianapolis,IN",46205,272500.0,74
283,"Indianapolis,IN",46208,181732.5,46
284,"Indianapolis,IN",46214,177500.0,16
285,"Indianapolis,IN",46216,297117.0,5
286,"Indianapolis,IN",46217,246080.0,66
287,"Indianapolis,IN",46218,105000.0,68
288,"Indianapolis,IN",46219,152400.0,61
289,"Indianapolis,IN",46220,312700.0,76
290,"Indianapolis,IN",46221,200000.0,37
