,metro_area,last_update_month,last_update_year,median_sale_price,house_count,month_name
78,"Omaha,NE",4.0,2022.0,209500.0,10,Apr2022.0
79,"Omaha,NE",5.0,2022.0,261000.0,52,May2022.0
80,"Omaha,NE",6.0,2022.0,265000.0,223,Jun2022.0
81,"Portland,OR",4.0,2022.0,579500.0,706,Apr2022.0
82,"Portland,OR",5.0,2022.0,600000.0,1367,May2022.0
83,"Portland,OR",6.0,2022.0,570000.0,1377,Jun2022.0
84,"Portland,OR",7.0,2022.0,577450.0,386,Jul2022.0
85,"Raleigh,NC",4.0,2022.0,395000.0,1378,Apr2022.0
86,"Raleigh,NC",5.0,2022.0,430000.0,175,May2022.0
87,"Raleigh,NC",6.0,2022.0,437500.0,332,Jun2022.0
88,"Sacramento,CA",4.0,2022.0,512500.0,544,Apr2022.0
89,"Sacramento,CA",5.0,2022.0,510000.0,874,May2022.0
90,"Sacramento,CA",6.0,2022.0,511750.0,934,Jun2022.0
91,"Sacramento,CA",7.0,2022.0,500000.0,231,Jul2022.0
92,"San Francisco,CA",4.0,2022.0,1650000.0,389,Apr2022.0
93,"San Francisco,CA",5.0,2022.0,1550000.0,728,May2022.0
94,"San Francisco,CA",6.0,2022.0,1525000.0,560,Jun2022.0
95,"San Francisco,CA",7.0,2022.0,1511500.0,154,Jul2022.0
96,"Seattle,WA",4.0,2022.0,879975.0,654,Apr2022.0
97,"Seattle,WA",5.0,2022.0,865000.0,1137,May2022.0
98,"Seattle,WA",6.0,2022.0,875000.0,1194,Jun2022.0
99,"Seattle,WA",7.0,2022.0,900000.0,331,Jul2022.0
100,"Tampa,FL",4.0,2022.0,385000.0,625,Apr2022.0
101,"Tampa,FL",5.0,2022.0,388500.0,1202,May2022.0
102,"Tampa,FL",6.0,2022.0,400000.0,1297,Jun2022.0
103,"Tampa,FL",7.0,2022.0,395000.0,353,Jul2022.0
104,"Tucson,AZ",4.0,2022.0,345000.0,690,Apr2022.0
105,"Tucson,AZ",5.0,2022.0,335000.0,1379,May2022.0
106,"Tucson,AZ",6.0,2022.0,335000.0,1386,Jun2022.0
107,"Tucson,AZ",7.0,2022.0,340000.0,377,Jul2022.0
108,"Tulsa,OK",4.0,2022.0,217000.0,289,Apr2022.0
109,"Tulsa,OK",5.0,2022.0,215000.0,669,May2022.0
110,"Tulsa,OK",6.0,2022.0,215000.0,747,Jun2022.0
111,"Tulsa,OK",7.0,2022.0,225000.0,190,Jul2022.0
112,"Virginia Beach,VA",4.0,2022.0,420500.0,48,Apr2022.0
113,"Virginia Beach,VA",5.0,2022.0,346000.0,93,May2022.0
114,"Virginia Beach,VA",6.0,2022.0,340000.0,512,Jun2022.0
115,"Washington,DC",4.0,2022.0,699000.0,526,Apr2022.0
116,"Washington,DC",5.0,2022.0,650000.0,1015,May2022.0
117,"Washington,DC",6.0,2022.0,715000.0,893,Jun2022.0
118,"Washington,DC",7.0,2022.0,745000.0,335,Jul2022.0
